MOVIES,GENRE
Demon Slayer: Kimetsu No Yaiba,"Animation, Action, Fantasy"
Jane the Virgin,Comedy
The Good Wife,"Crime, Drama, Mystery"
The Good Place,"Comedy, Drama, Fantasy"
The Americans,"Crime, Drama, Mystery"
Glee,"Comedy, Drama, Music"
Bo Burnham: Inside,"Comedy, Drama, Music"
Kill Bill: Vol. 1,"Action, Crime, Drama"
Bartkowiak,"Action, Crime, Sport"
Castlevania,"Animation, Action, Adventure"
300,"Action, Drama"
Dawson's Creek,"Drama, Romance"
It,Horror
Pretty Little Liars,"Drama, Mystery, Romance"
Star Trek,"Action, Adventure, Sci-Fi"
Archer,"Animation, Action, Comedy"
Spider-Man: Far from Home,"Action, Adventure, Sci-Fi"
Twin Peaks,"Crime, Drama, Mystery"
The Mitchells vs the Machines,"Animation, Adventure, Comedy"
The Bold Type,"Comedy, Drama"
"Love, Death & Robots","Animation, Short, Comedy"
Hostage House,Thriller
The Hobbit: An Unexpected Journey,"Adventure, Fantasy"
Clueless,"Comedy, Romance"
Ray Donovan,"Crime, Drama"
Transformers: War for Cybertron,"Animation, Action, Adventure"
Baywatch,"Action, Comedy, Crime"
Trollhunters,"Animation, Action, Adventure"
Snowpiercer,"Action, Drama, Sci-Fi"
Workin' Moms,Comedy
The Devil All the Time,"Crime, Drama, Thriller"
Broadchurch,"Crime, Drama, Mystery"
Fast & Furious 7,"Action, Adventure, Thriller"
L.A.'s Finest,"Action, Comedy, Crime"
Good on Paper,"Comedy, Romance"
Iron Fist,"Action, Adventure, Crime"
Too Hot to Handle,"Game-Show, Reality-TV, Romance"
Haseen Dillruba,"Crime, Drama, Mystery"
Hannibal,"Crime, Drama, Horror"
Longmire,"Action, Crime, Drama"
Sicario,"Action, Crime, Drama"
The Fall,"Crime, Drama, Thriller"
The Irishman,"Biography, Crime, Drama"
Jujutsu Kaisen,"Animation, Action, Adventure"
The Lord of the Rings: The Return of the King,"Action, Adventure, Drama"
Baby Driver,"Action, Crime, Drama"
Dynasty,Drama
Spider-Man,"Action, Adventure, Sci-Fi"
Jumanji: The Next Level,"Action, Adventure, Comedy"
I Care a Lot,"Comedy, Crime, Thriller"
Love and Monsters,"Action, Adventure, Comedy"
Awake,"Action, Adventure, Drama"
The Haunting of Hill House,"Drama, Horror, Mystery"
Things Heard & Seen,"Drama, Horror, Mystery"
NCIS: Los Angeles,"Action, Crime, Drama"
Arrival,"Drama, Sci-Fi"
Taxi Driver,"Crime, Drama"
Grease,"Musical, Romance"
El inocente,"Crime, Drama, Mystery"
The Movies That Made Us,Documentary
Ragnarok,"Action, Drama, Fantasy"
The King,"Biography, Drama, History"
Ginny & Georgia,"Comedy, Drama"
Jupiter's Legacy,"Action, Adventure, Drama"
Designated Survivor,"Action, Drama, Mystery"
Sing 2,"Animation, Adventure, Comedy"
White Collar,"Comedy, Crime, Drama"
The Dig,"Biography, Drama, History"
Knives Out 2,"Comedy, Crime, Drama"
Dirty John,"Crime, Drama"
The Old Guard,"Action, Adventure, Fantasy"
Venom,"Action, Adventure, Sci-Fi"
The Killing,"Crime, Drama, Mystery"
Don't Look Up,Comedy
Skins,Drama
6 Underground,"Action, Thriller"
The Fate of the Furious,"Action, Adventure, Crime"
Captain America: Civil War,"Action, Adventure, Sci-Fi"
Rurôni Kenshin: Sai shûshô - The Beginning,"Action, Adventure, Drama"
Death Note: Desu nôto,"Animation, Crime, Drama"
Naruto,"Animation, Action, Adventure"
Black Sails,"Adventure, Drama"
Run,"Mystery, Thriller"
Orphan Black,"Action, Drama, Sci-Fi"
Grimm,"Crime, Drama, Fantasy"
Luther,"Crime, Drama, Mystery"
Sexy Beasts,"Reality-TV, Romance"
Red Notice,"Action, Comedy, Crime"
Sen to Chihiro no kamikakushi,"Animation, Adventure, Family"
Hotel Transylvania: Transformania,"Animation, Adventure, Comedy"
Murdoch Mysteries,"Crime, Drama, Mystery"
Wish Dragon,"Animation, Adventure, Comedy"
Resident Evil: Infinite Darkness,"Animation, Action, Horror"
Reign,"Drama, Fantasy"
Elementary,"Crime, Drama, Mystery"
