MOVIES,YEAR,GENRE,RATING,STARS,VOTES,RunTime,DIRECTOR
Giruti kuraun: Guilty Crown,2011–2012,"Animation, Action, Romance",7.1,"Yûki Kaji, Ai Kayano, Kana Hanazawa, Kate Bristol",4447,23,
Bir Denizalti Hikayesi,nan,"Action, Adventure, Drama",,"Kivanç Tatlitug, Özge Özpirinçci, Meric Aral, Ersin Arici",0,0,
The Cuba Libre Story,2016,"Documentary, History",7.7,"Ken Eaken, Jaime Suchlicki, Jean-Pierre Clerc, Michael Zeuske",1432,52,
Wolkenbruchs wunderliche Reise in die Arme einer Schickse,2018,"Comedy, Drama",6.6,"Director:Michael Steiner| Joel Basman, Noémie Schmidt, Udo Samel, Sunnyi Melles",3856,94,
The Incredible Shrinking Man,1957,"Horror, Sci-Fi",7.6,"Director:Jack Arnold| Grant Williams, Randy Stuart, April Kent, Paul Langton",16821,81,
Beneath the Leaves,2019,Thriller,4.6,"Director:Adam Marino| Mira Sorvino, Kristoffer Polaha, Doug Jones, Aaron Farb",1389,90,
Devils Line,2018– ,"Animation, Action, Crime",6.9,"Luci Christian, Justin Doran, Adam Gibbs, Yui Ishikawa",876,24,
Manny & Lo,1996,"Comedy, Drama",6.6,"Director:Lisa Krueger| Scarlett Johansson, Aleksa Palladino, Mary Kay Place, Dean Silvers",1944,88,
Gekijô-ban Sôdo Âto Onrain: Sword Art Online - Ôdinaru sukêru -,2017,"Animation, Action, Adventure",7.4,"Director:Tomohiko Itô| Yoshitsugu Matsuoka, Haruka Tomatsu, Kanae Itô, Ayana Taketatsu",7054,119,
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",2015– ,"Animation, Action, Adventure",7.5,"Jun'ichi Suwabe, Nao Tôyama, Hisako Kanemoto, Risa Taneda",2886,24,
The Seven Deadly Sins: Prisoners of the Sky,2018,"Animation, Action, Fantasy",7.1,"Directors:Yasuto Nishikata, Noriyuki Abe| Yûki Kaji, Sora Amamiya, Misaki Kuno, Aoi Yûki",4007,99,
O Mecanismo,2018– ,"Crime, Drama, Thriller",8.4,"Caroline Abras, Selton Mello, Enrique Diaz, Jonathan Haagensen",35732,41,
Shéhérazade,2018,"Drama, Romance, Thriller",7.1,"Director:Jean-Bernard Marlin| Dylan Robert, Kenza Fortas, Idir Azougli, Lisa Amedjout",1810,109,
Five Came Back,2017,"Documentary, Biography, History",8.3,"Francis Ford Coppola, Guillermo del Toro, Paul Greengrass, Lawrence Kasdan",4261,60,
Crazyhead,2016,"Comedy, Horror, Sci-Fi",7.3,"Cara Theobold, Susan Wokoma, Lewis Reeves, Tony Curran",4613,60,
Keopi peurinseu 1-hojeom,2007,"Comedy, Drama, Romance",8.2,"Gong Yoo, Yun Eun-hye, Sun-kyun Lee, Jeong-an Chae",4606,55,
Code Lyoko,2003–2007,"Animation, Action, Adventure",7.3,"Sharon Mann, Mirabelle Kirkland, Matthew Géczy, Barbara Scaff",4782,26,
Darc,2018,"Action, Crime, Thriller",5.8,"Director:Julius R. Nasso| Tony Schiena, Armand Assante, Kippei Shîna, Shô Ikushima",4109,97,
Guilty,II 2020,"Drama, Thriller",5.4,"Director:Ruchi Narain| Kiara Advani, Taher Shabbir, Akansha Ranjan Kapoor, Gurfateh Pirzada",4014,119,
Brotherly Love,III 2015,Drama,6.7,"Director:Jamal Hill| Keke Palmer, Cory Hardrict, Romeo Miller, Eric D. Hill Jr.",1787,89,
Catfight,I 2016,"Action, Comedy, Drama",5.9,"Director:Onur Tukel| Sandra Oh, Anne Heche, Alicia Silverstone, Amy Hill",5779,95,
Betonrausch,2020,"Comedy, Drama",5.8,"Director:Cüneyt Kaya| David Kross, Frederick Lau, Emily Goss, Susan Angelo",4387,94,
No te puedes esconder,2019– ,"Action, Crime",6.5,"Blanca Soto, Eduardo Noriega, Iván Sánchez, Maribel Verdú",918,44,
The Legacy of a Whitetail Deer Hunter,2018,"Comedy, Drama",5.5,"Director:Jody Hill| Josh Brolin, Danny McBride, Montana Jordan, Scoot McNairy",3691,83,
Citrus,2018– ,"Animation, Drama, Romance",6.3,"Tomoaki Maeno, Kana Ueda, Ikumi Hayama, Shiori Izawa",1621,24,
K,2012– ,"Animation, Action, Drama",7.1,"Sam Riegel, Stephanie Sheh, Johnny Yong Bosch, Todd Haberkorn",2091,24,
Tu hijo,2018,"Action, Adventure, Crime",6.1,"Director:Miguel Ángel Vivas| Jose Coronado, Ana Wagener, Asia Ortega, Pol Monen",4290,103,
Barbie: Life in the Dreamhouse,2012– ,"Animation, Short, Comedy",7.4,"Kate Higgins, Sean Hankinson, Haviland Stillwell, Paula Rhodes",1474,3,
Killer Under the Bed,2018,"Horror, Thriller",5.2,"Director:Jeff Hare| Kristy Swanson, Brec Bassinger, Madison Lawlor, Chris Prascus",330,90,
Black Crab,2022,"Action, Adventure, Thriller",,"Director:Adam Berg| Noomi Rapace, Aliette Opheim, Jakob Oftebro, Dar Salim",0,0,
Sthlm Rekviem,2018– ,"Crime, Drama, Mystery",6.5,"Liv Mjönes, Jonas Karlsson, Alexej Manvelov, Magnus Roosmann",1294,45,
The Deep,2015– ,"Animation, Action, Adventure",7.9,"Vincent Tong, Ashleigh Ball, Kathleen Barr, Michael Dobson",575,22,
A Christmas Prince,2017,"Comedy, Family, Romance",5.8,"Director:Alex Zamm| Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey",17515,92,
Il était une seconde fois,2019– ,"Drama, Romance, Sci-Fi",6.2,"Gaspard Ulliel, Freya Mavor, Patrick d'Assumçao, Richard Dillane",774,192,
High on the Hog: How African American Cuisine Transformed America,2021,"Documentary, History",7.7,"Stephen Satterfield, Gabrielle E.W. Carter, Jessica B. Harris, Romauld Hazoume",501,210,
Grégory,2019,"Documentary, Crime, Mystery",7.4,"Page Leong, William Salyers, James Simenc, Peter James Smith",2505,60,
Bloom Into You,2018– ,"Animation, Drama, Romance",7.8,"Tia Lynn Ballard, Clint Bickham, Luci Christian, Amber Lee Connors",954,24,
Florida Man,IV,Drama,,Star:Edgar Ramírez,0,0,
Distrito Salvaje,2018– ,"Action, Crime, Drama",8.3,"Cristina Umaña, Juan Pablo Raba, Nicolás Quiroga Pineda, Paula Castaño",1727,45,
Haereul poomeun dal,2012,"Drama, Fantasy, Romance",8.0,"Mi-seon Jeon, Mi-kyeong Yang, Eung-soo Kim, Eun-pyo Jeong",2022,0,
Gumbeobnamnyeo,2018– ,"Crime, Drama, Thriller",8.3,"Jae-yeong Jeong, Yu-mi Jeong, Oh Man-seok, Kim Young-woong",484,35,
Surviving Death,2021– ,"Documentary, Reality-TV",6.1,Star:Payton Harbour,1654,50,
Gunjan Saxena: The Kargil Girl,2020,"Action, Biography, Drama",5.3,"Director:Sharan Sharma| Janhvi Kapoor, Pankaj Tripathi, Angad Bedi, Manav Vij",26036,112,
The Joel McHale Show with Joel McHale,2018,Comedy,7.2,"Joel McHale, Paul Feig, Brad Stevens, Dominic DeLeo",2277,30,
The Epic Tales of Captain Underpants,2018–2020,"Animation, Short, Action",6.7,"Nat Faxon, Jay Gragnani, Ramone Hamilton, Sean Astin",737,24,
Christmas Inheritance,2017,"Comedy, Drama, Romance",5.7,"Director:Ernie Barbarash| Eliza Taylor, Jake Lacy, Andie MacDowell, Neil Crone",10292,104,
Sabrina,2018,"Horror, Thriller",4.2,"Director:Rocky Soraya| Luna Maya, Christian Sugiono, Sara Wijayanto, Jeremy Thomas",1583,113,
The Maus,2017,"Drama, Fantasy, Horror",4.7,"Director:Yayo Herrero| August Wittgenstein, Alma Terzic, Aleksandar Seksan, Ella Jazz",4377,90,
Nae Aidineun Gangnammiin,2018,"Comedy, Romance",7.5,"Soo-hyang Im, Cha Eun-Woo, Woo-Ri Jo, Kwak Dong-yeon",2715,60,
The Nailbomber,2021,"Documentary, Crime, History",6.3,"Director:Daniel Vernon| David Copeland, Arthur, Talent Chioma Mundy-Castle, Lee Walden",1599,72,
Byuti Insaideu,2018,"Drama, Fantasy, Romance",7.5,"Hyeon-jin Seo, Lee Min-ki, Lee Da-hee, Ahn Jae-Hyun",1347,70,
Desenfrenadas,2020– ,"Comedy, Drama",7.3,"Tessa Ia, Bárbara López, Lucía Uribe, Coty Camacho",796,43,
Eobiseu,2019,"Comedy, Fantasy, Romance",7.1,"Park Bo-Young, Ahn Hyo-Seop, Lee Si-eon, Sung-Jae Lee",1487,60,
#Realityhigh,2017,"Comedy, Drama, Romance",5.2,"Director:Fernando Lebrija| Nesta Cooper, Keith Powers, Alicia Sanz, Jake Borelli",5947,99,
Syucheu,2018,"Crime, Drama, Thriller",7.4,"Jang Dong-Gun, Park Hyung-Sik, Gwi-hwa Choi, Hee-kyung Jin",558,60,
Ashby,2015,"Comedy, Crime, Drama",6.4,"Director:Tony McNamara| Mickey Rourke, Nat Wolff, Emma Roberts, Sarah Silverman",15197,100,
Frères ennemis,2018,"Drama, Thriller",6.4,"Director:David Oelhoffen| Matthias Schoenaerts, Reda Kateb, Adel Bencherif, Sofiane Zermani",2248,111,
Trolls: The Beat Goes On!,2018–2019,"Animation, Short, Adventure",5.9,"Amanda Leighton, Sean T. Krishnan, Kevin Michael Richardson, Skylar Astin",731,25,
Rosemary's Baby,2014,"Drama, Horror, Mystery",5.5,"Zoe Saldana, Patrick J. Adams, Carole Bouquet, Christina Cole",5230,170,
Back to the Outback,2021,"Animation, Adventure, Comedy",,"Directors:Harry Cripps, Clare Knight| Guy Pearce, Isla Fisher, Eric Bana, Wayne Knight",0,0,
Little Witch Academia,2017,"Animation, Comedy, Family",7.9,"Megumi Han, Erica Mendez, Alexis Nichols, Fumiko Orikasa",2619,25,
Wakfu,2008–2017,"Animation, Adventure, Family",8.2,"Fanny Bloc, Geneviève Doang, Jules de Jongh, Thomas Guitard",1289,24,
Nero a metà,2018– ,"Crime, Drama",6.6,"Claudio Amendola, Miguel Gobbo Diaz, Fortunato Cerlino, Rosa Diletta Rossi",822,60,
Gridlocked,2015,Action,5.8,"Director:Allan Ungar| Dominic Purcell, Cody Hackman, Saul Rubinek, Stephen Lang",4295,110,
Perdida,2018,"Crime, Drama, Mystery",5.6,"Director:Alejandro Montiel| Mara Alberto, Carlos Alcantára, Juan Ignacio Cane, Pedro Casablanc",4468,103,
Shot in the Dark,2017,"Documentary, Reality-TV",8.0,"Zak Holman, Scott Lane, Austin Raishbrook, Howard Raishbrook",1677,37,
Waffles + Mochi,2021– ,Family,7.6,"Diona Elise Burnett, Taleia Gilliam, Andy Hayward, Jonathan Kidder",347,0,
La Marca del Demonio,2020,Horror,3.2,"Director:Diego Cohen| Eduardo Noriega, Eivaut Rischen, Arantza Ruiz, Nicolasa Ortíz Monasterio",2062,82,
Arcane,2021– ,"Animation, Action, Adventure",,,0,0,
Go!,2020,"Family, Sport",5.9,"Director:Owen Trevor| William Lodder, Frances O'Connor, Anastasia Bampos, Darius Amarfio Jefferson",2436,102,
El hombre de las mil caras,2016,"Biography, Thriller",6.9,"Director:Alberto Rodríguez| Jose Coronado, Eduard Fernández, Miquel García Borda, Santiago Molero",7515,123,
Svaha: The Sixth Finger,2019,"Horror, Mystery, Thriller",6.3,"Director:Jae-hyun Jang| Yoo Ji-Tae, Jung-jae Lee, Jin Seon-kyu, Lee Hang-na",3219,122,
Carmel: ¿Quién mató a María Marta?,2020,"Documentary, Crime, Mystery",7.1,"Rolando Barbano, Carlos Carrascosa, Pablo Duggan, Horacio García Belsunce",1979,229,
X-Men,2011,"Animation, Action, Sci-Fi",6.9,"Steve Blum, Cam Clarke, Aya Hisakawa, Katsunosuke Hori",1933,0,
Beauty,2021,"Drama, Romance",,"Director:Andrew Dosunmu| Sharon Stone, Giancarlo Esposito, Joey Bada$$, Niecy Nash",0,0,
Made You Look: A True Story About Fake Art,2020,"Documentary, Crime",7.0,"Director:Barry Avrich| Ann Freedman, M.H. Miller, Perry Amsellem, Patricia Cohen",3096,94,
History of Swear Words,2021– ,"Documentary, Comedy",6.4,"Nikki Glaser, London Hughes, Elvis Mitchell, Melissa Mohr",4167,124,
La trinchera infinita,2019,"Action, Drama, History",7.2,"Directors:Aitor Arregi, Jon Garaño, Jose Mari Goenaga| Antonio de la Torre, Belén Cuesta, Vicente Vergara, José Manuel Poga",5405,147,
Elite Short Stories: Omar Ander Alexis,2021,"Short, Drama",7.4,"Arón Piper, Jorge Clemente, Omar Ayuso, Claudia Salas",1261,35,
Go! Vive a Tu Manera,2019,"Comedy, Musical, Romance",7.1,"Rebecca Davis, Marley Estrada, Marina Gridley, Alyssa LeBarron",491,40,
Roll Red Roll,2018,"Documentary, Crime",7.1,"Director:Nancy Schwartzman| Mark Cole, Anthony Craig, Rachel Dissell, Alexandria Goddard",2377,80,
Freaks: You're One of Us,2020,"Action, Drama, Fantasy",5.4,"Director:Felix Binder| Cornelia Gröschel, Tim Oliver Schultz, Wotan Wilke Möhring, Nina Kunzendorf",5256,92,
Las muñecas de la mafia,2009– ,Drama,6.6,"Jason Chad Roth, Will Rodriguez, Amparo Grisales, Joseph Snell",246,0,
Hip-Hop Evolution,2016– ,"Documentary, Music",8.4,"Shad, LL Cool J, Alonzo Williams, Melle Mel",5411,90,
Milosc do kwadratu,2021,"Comedy, Romance",5.0,"Director:Filip Zylber| Adrianna Chlebicka, Mateusz Banasiuk, Agnieszka Zulewska, Krzysztof Czeczot",2489,102,
Sunderland 'Til I Die,2018– ,"Documentary, Sport",8.1,"Nick Barnes, George Honeyman, Aiden McGeady, Gary Bennett",7196,39,
Eungyo,2012,"Drama, Romance",6.7,"Director:Ji-woo Jung| Park Hae-il, Mu-Yeol Kim, Kim Go-eun, Man-sik Jeong",1877,129,
El Camino Christmas,2017,"Comedy, Crime, Western",5.7,"Director:David E. Talbert| Dax Shepard, Kurtwood Smith, Luke Grimes, Emilio Rivera",7695,89,
Son: The Guest,2018– ,"Drama, Horror, Mystery",8.2,"Dong-wook Kim, Kim Jae-Wook, Jung Eun-chae, Park Ho-San",1098,65,
Rebel Moon,nan,"Adventure, Drama, Fantasy",,Director:Zack Snyder,0,0,
Lo chiamavano Jeeg Robot,2015,"Action, Drama, Sci-Fi",7.0,"Director:Gabriele Mainetti| Claudio Santamaria, Luca Marinelli, Ilenia Pastorelli, Stefano Ambrogi",13904,112,
Siempre Bruja,2019– ,"Drama, Fantasy",6.3,"Sofía Araujo Mejía, Angely Gaviria, Sofía Araújo, Dylan Fuentes",2191,40,
Tonari no kaibutsu-kun,2012,"Animation, Comedy, Romance",7.3,"Haruka Tomatsu, Tatsuhisa Suzuki, Atsumi Tanezaki, Ryôta Ôsaka",3293,24,
Karakai Jouzu no Takagi-san,2018– ,"Animation, Comedy, Romance",7.7,"Rie Takahashi, Yûki Kaji, Konomi Kohara, Mao Ichimichi",1330,23,
Aetaneun Romaenseu,2017,"Comedy, Romance",7.1,"Ji-eun Song, Sung Hoon, Jae-young Kim, Da-Sol Jeong",2365,47,
To aru majutsu no indekkusu,2008–2019,"Animation, Action, Comedy",6.9,"Monica Rial, Micah Solusod, Alexis Tipton, Caitlin Glass",1674,23,
Handsome: A Netflix Mystery Movie,2017,"Comedy, Mystery",5.2,"Director:Jeff Garlin| Ava Acres, Armani GreatDane, Dino Battaglia, Brent Bradshaw",4161,80,
Leila,2019– ,"Drama, Sci-Fi",4.8,"Huma Qureshi, Rahul Khanna, Siddharth, Leysha Mange",8306,48,
Glitch Techs,2020– ,"Animation, Action, Adventure",7.9,"Ricardo Hurtado, Monica Ray, Dan Milano, Rachael Russakoff",869,25,
A Love So Beautiful,2020– ,"Comedy, Romance",7.4,"Joo-yeon So, Kim Yo-han, Hoi-Hyeon Yeo, Hye-Jo Cho",522,0,
Private Network: Who Killed Manuel Buendía?,2021,"Documentary, Crime, Mystery",6.8,Director:Manuel Alcalá|     Star:Daniel Giménez Cacho,123,100,
Painkiller,nan,"Crime, Drama",,"Uzo Aduba, Matthew Broderick, West Duchovny, John Rothman",0,0,
Cooking with Paris,2021– ,Reality-TV,,Star:Paris Hilton,0,0,
Swearnet: The Movie,2014,Comedy,5.9,"Director:Warren P. Sonoda| Mike Smith, Robb Wells, John Paul Tremblay, Patrick Roach",2536,112,
The Midnight Club,nan,"Drama, Horror, Mystery",,"Adia, Matt Biedel, Ruth Codd, Annarah Cymone",0,0,
Medal of Honor,2018– ,"Documentary, War",8.4,"Josh Charles, Daniel Rodriguez, David Petraeus, Jake Abel",1510,60,
Results,2015,"Comedy, Romance",5.4,"Director:Andrew Bujalski| Guy Pearce, Cobie Smulders, Kevin Corrigan, Giovanni Ribisi",6774,105,
Invader ZIM: Enter the Florpus,2019 TV Movie,"Animation, Action, Adventure",7.5,"Directors:Hae Young Jung, Young Kyun Park, Jhonen Vasquez| Richard Steven Horvitz, Rikki Simons, Andy Berman, Melissa Fahn",5167,71,
Pee Mak Phrakanong,2013,"Comedy, Horror, Romance",7.3,"Director:Banjong Pisanthanakun| Mario Maurer, Davika Hoorne, Nattapong Chartpong, Pongsatorn Jongwilak",5185,115,
Iriwa Anajwo,2018,"Crime, Drama, Mystery",8.0,"Jang Ki-Yong, Ki-joo Jin, Joon-ho Huh, Ji-ae Jeon",826,35,
Married to Medicine,2013– ,Reality-TV,5.2,"Jacqueline Walters, Simone Whitmore, Toya Bush-Harris, Quad Webb",332,43,
Al Hayba,2017– ,"Action, Romance",7.4,"Taim Hasan, Nadine Nassib Njeim, Mona Wassef, Oweiss Mkhallalati",982,45,
Ailiseu,2009–2013,"Action, Mystery, Romance",7.9,"Yeong-cheol Kim, Yun Ju-sang, Seung-woo Kim, Lee Jeong-kil",1810,60,
Dong wu shi jie,2018,"Action, Fantasy, Sci-Fi",6.5,"Director:Yan Han| Yifeng Li, Yunhe Yi, Bingkun Cao, Yijuan Li",3985,132,
Voyeur,II 2017,Documentary,6.2,"Directors:Myles Kane, Josh Koury| Gay Talese, Gerald Foos, Nan Talese, Susan Morrison",5330,95,
Echoes,III,"Drama, Mystery, Thriller",,"Michelle Monaghan, Matt Bomer",0,0,
Suzumiya Haruhi no yûutsu,2006–2009,"Animation, Comedy, Fantasy",7.8,"Tomokazu Sugita, Aya Hirano, Minori Chihara, Yûko Gotô",7848,24,
Croc-Blanc,2018,"Animation, Adventure",7.0,"Director:Alexandre Espigares| Raphaël Personnaz, Virginie Efira, Dominique Pinon, Frantz Confiac",3413,85,
Lunatics,2019,Comedy,6.6,"Chris Lilley, Judi Young, Brock Thornburgh, Jett Thornburgh",2884,35,
Michiel de Ruyter,2015,"Action, Adventure, Biography",7.0,"Director:Roel Reiné| Frank Lammers, Sanne Langelaar, Barry Atsma, Lieke van Lexmond",9359,151,
One,II 2021,"Drama, Thriller",6.6,"Director:Santhosh Viswanath| Mammootty, Joju George, Murali Gopy, Mathew Thomas",2286,151,
Blood Brother,2018,"Action, Crime, Drama",4.5,"Director:John Pogue| Trey Songz, Jack Kesy, China Anne McClain, Hassan Johnson",936,90,
Kid Cosmic,2021– ,"Animation, Action, Adventure",8.0,"Tom Kenny, Amanda Céline Miller, Keith Ferguson, Lily Rose Silver",787,25,
Dachra,2018,Horror,6.7,"Director:Abdelhamid Bouchnak| Yassmine Dimassi, Hela Ayed, Aziz Jebali, Bilel Slatnia",1263,114,
Yeom-lyeok,2018,"Action, Comedy, Fantasy",5.9,"Director:Sang-ho Yeon| Seung-ryong Ryu, Shim Eun-kyung, Jeong Min Park, Yu-mi Jung",5130,101,
Against the Ice,2021,"Adventure, Drama, History",,"Director:Peter Flinth| Nikolaj Coster-Waldau, Joe Cole, Charles Dance, Ed Speleers",0,0,
Blackpink: Light Up the Sky,2020,"Documentary, Music",7.5,"Director:Caroline Suh| Reila Post, Blackpink, Jennie Kim, Jisoo Kim",5531,79,
El Reino,2021– ,"Crime, Drama",,"Victoria Almeida, Patricio Aramburu, Chino Darín, Nancy Dupláa",0,0,
Elite Short Stories: Guzmán Caye Rebe,2021,"Short, Crime, Drama",7.5,"Miguel Bernardeau, Claudia Salas, Georgina Amorós, Quim Ramos",1545,36,
Kadokyaputa Sakura,1998–2000,"Animation, Action, Adventure",8.0,"Sakura Tange, Huyen Chi, Andrea Kwan, Junko Iwao",4613,30,
The Disappearance of Madeleine McCann,2019,"Documentary, Crime, Mystery",6.6,"Anthony Summers, Maria João Vaz, Gonçalo Amaral, Robbyn Swan",9309,60,
The Guest House,2012,Romance,3.6,"Director:Michael Baumgarten| Ruth Reynolds, Madeline Merritt, Tom McCafferty, Jake Parker",1449,82,
This Film Is Not Yet Rated,2006,Documentary,7.5,"Director:Kirby Dick| Kirby Dick, Kimberly Peirce, Darren Aronofsky, Atom Egoyan",27671,98,
Mind Game,I 2004,"Animation, Adventure, Comedy",7.8,"Directors:Masaaki Yuasa, Kôji Morimoto| Kôji Imada, Sayaka Maeda, Takashi Fujii, Seiko Takuma",8774,103,
Do Do Sol Sol La La Sol,2020,"Comedy, Music, Romance",7.4,"Go Ara, Jae-Wook Lee, Kim Joo-Heon, Eun-soo Shin",1046,60,
Happy New Year,I 2014,"Action, Comedy, Crime",5.0,"Director:Farah Khan| Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan, Anupam Kher",35211,180,
Hell and Back,2015,"Animation, Adventure, Comedy",5.4,"Directors:Tom Gianas, Ross Shuman| Nick Swardson, Mila Kunis, Bob Odenkirk, T.J. Miller",4823,86,
Altered Carbon: Resleeved,2020,"Animation, Action, Crime",6.5,"Directors:Takeru Nakajima, Yoshiyuki Okada, Shouta Kitamoto| Ray Chase, Doug Stone, Kaiji Tang, Chris Conner",5301,74,
Class of 83,2020,"Action, Crime, Drama",5.8,"Director:Atul Sabharwal| Bobby Deol, Anup Soni, Joy Sengupta, Hitesh Bhojraj",5197,98,
From Scratch,nan,Drama,,"Eugenio Mastrandrea, Roberta Rigano, Paride Benassai, Jonathan Dylan King",0,0,
The Incredible Jessica James,2017,Comedy,6.5,"Director:Jim Strouse| Jessica Williams, Chris O'Dowd, LaKeith Stanfield, Noël Wells",6808,85,
Neo Yokio,2017–2018,"Animation, Action, Adventure",5.9,"Jude Law, Jaden Smith, Susan Sarandon, The Kid Mero",3171,23,
18 regali,2020,Drama,6.7,"Director:Francesco Amato| Vittoria Puccini, Benedetta Porcaroli, Edoardo Leo, Sara Lazzaro",3312,115,
Nightbooks,2021,"Family, Fantasy, Horror",,"Director:David Yarovesky| Krysten Ritter, Lidya Jewett, Winslow Fegley, Liam Couvion",0,0,
Parallels,I 2015,"Action, Sci-Fi",6.1,"Director:Christopher Leone| Mark Hapka, Jessica Rothe, Eric Jungmann, Constance Wu",14125,83,
Gekkan Shojo Nozaki-kun,2014– ,"Animation, Comedy, Romance",7.6,"Yûichi Nakamura, Ari Ozawa, Christina Marie Kelly, Ty Mahany",2870,24,
I Am Vengeance: Retaliation,2020,Action,3.4,"Director:Ross Boyask| Stu Bennett, Vinnie Jones, Jacob Anderton, Sam Benjamin",1835,82,
Street,I 2015,Action,4.6,"Director:Bradford May| Quincy Brown, Mindy Robinson, Mark Ryan, Kate Miner",973,85,
37 sekanzu,2019,Drama,7.3,"Director:Hikari| Nanami Kawakami, Makiko Watanabe, Mei Kayama, Shizuka Ishibashi",2345,115,
Metegol,2013,"Animation, Adventure, Family",6.5,"Director:Juan José Campanella| Gabriel Almirón, Federico Cecere, Ezequiel Cipols, Luciana Falcón",9201,106,
Sikago Tajagi,2017,"Drama, Fantasy, Romance",8.3,"Yoo Ah-in, Lim Soo-jung, Go Kyung-Pyo, Si-Yang Kwak",1385,70,
I Came By,2022,Thriller,,"Director:Babak Anvari| Kelly Macdonald, George MacKay, Hugh Bonneville, Varada Sethu",0,0,
Wu Assassins: Fistful of Vengeance,nan,"Action, Crime, Drama",,"Director:Roel Reiné| Iko Uwais, Lewis Tan, Jason Tobin, JuJu Chan Szeto",0,0,
Cheer,2020,"Documentary, Reality-TV",8.1,"Monica Aldama, Lexi Brumback, Gabi Butler, Jerry Harris",4270,355,
Babylon,2014,"Comedy, Crime, Drama",7.1,"Brit Marling, Bertie Carvel, Paterson Joseph, Daniel Kaluuya",2142,50,
Malibu Rescue,2019– ,"Action, Comedy, Family",5.5,"Ricardo Hurtado, Jackie R. Jacobson, Abby Donnelly, Alkoya Brunson",848,0,
Geomsaekeoreul Ibryeokhaseyo: WWW,2019,"Drama, Romance",7.9,"Lim Soo-jung, Hye-jin Jeon, Lee Da-hee, Jang Ki-Yong",833,70,
Thriller,2018,"Crime, Drama, Horror",3.6,"Director:Dallas Jackson| Jessica Allain, Luke Tennie, Mitchell Edwards, Paige Hurd",1093,87,
Tiempo compartido,2018,"Drama, Mystery, Thriller",6.0,"Director:Sebastián Hofmann| Luis Gerardo Méndez, Miguel Rodarte, RJ Mitte, Cassandra Ciangherotti",2528,96,
Beats,I 2019,Drama,6.4,"Director:Chris Robinson| Khalil Everage, Evan J. Simpson, Ashley Jackson, Ahmad Nicholas Ferguson",4651,109,
Yungnyong-i Nareusya,2015–2016,"Drama, History",8.9,"Yoo Ah-in, Yo-Han Byun, Myung-Min Kim, Shin Se-Kyung",803,0,
Sulla mia pelle,2018,"Biography, Drama",7.3,"Director:Alessio Cremonini| Alessandro Borghi, Massimiliano Tortora, Milvia Marigliano, Jasmine Trinca",8345,100,
Choked: Paisa Bolta Hai,2020,Drama,5.8,"Director:Anurag Kashyap| Saiyami Kher, Roshan Mathew, Amruta Subhash, Upendra Limaye",4967,114,
Roku de nashi majutsu kôshi to akashic records,2017– ,"Animation, Action, Comedy",7.1,"Josh Grelle, Morgan Laure, Rachael Messer, Monica Rial",1557,24,
New Kids Turbo,2010,"Action, Comedy",6.4,"Directors:Steffen Haars, Flip Van der Kuil| Huub Smit, Tim Haars, Wesley van Gaalen, Steffen Haars",15413,84,
Mersal,2017,"Action, Thriller",7.8,"Director:Atlee Kumar| Joseph Vijay, Nithya Menen, S.J. Suryah, Kajal Aggarwal",30551,172,
Bee and PuppyCat,2013– ,"Animation, Short, Action",8.2,"Allyn Rachel, Kent Osborne, Alexander James Rodriguez, Ashly Burch",1555,7,
Born to Raise Hell,2010,"Action, Crime, Thriller",4.4,"Director:Lauro David Chartrand-DelValle| Steven Seagal, Dan Badarau, Darren Shahlavi, D. Neil Mark",4086,98,
Marco Polo: One Hundred Eyes,2015 TV Movie,"Action, Drama, History",7.8,"Director:Alik Sakharov| Benedict Wong, Tom Wu, Lorenzo Richelmy, Olivia Cheng",10146,28,
Burn Out,I 2017,"Action, Crime, Thriller",6.2,"Director:Yann Gozlan| François Civil, Olivier Rabourdin, Manon Azem, Samuel Jouy",3275,107,
The Magic School Bus Rides Again,2017–2021,"Animation, Adventure, Family",6.2,"Mikaela Blake, Gabby Clarke, Birva Pandya, Kate McKinnon",719,26,
The Maid,2020,"Drama, Horror, Mystery",5.7,"Director:Lee Thongkham| Ploy Sornarin, Savika Chaiyadej, Kannaporn Puangtong, Theerapat Sajakul",560,102,
Sadece Sen,2014,"Action, Drama, Romance",7.3,"Director:Hakan Yonat| Belçim Bilgin, Ibrahim Celikkol, Kerem Can, Necmi Yapici",4752,105,
Hyena,2020– ,"Drama, Romance",7.8,"Ju Ji-Hoon, Kim Hye-su, Lee Kyung-young, Jun Suk-ho",598,60,
Middleditch & Schwartz,2020– ,Comedy,8.6,"Thomas Middleditch, Ben Schwartz",4251,51,
Against the Sun,2014,"Biography, Drama, War",6.5,"Director:Brian Peter Falk| Garret Dillahunt, Tom Felton, Jake Abel, Nadia Parra",5503,100,
Craig Ross Jr.'s Monogamy,2018– ,Drama,7.2,"Jill Marie Jones, Vanessa Simmons, Darius McCrary, Caryn Ward",321,30,
Girls Hostel,2018– ,"Comedy, Drama",8.1,"Srishti Shrivastava, Parul Gulati, Ahsaas Channa, Simran Natekar",3566,23,
