MOVIES,YEAR,GENRE,RATING,STARS,VOTES,RunTime,DIRECTOR
Outlander,2014– ,"Drama, Fantasy, Romance",8.4,"Caitriona Balfe, Sam Heughan, Duncan Lacroix, Sophie Skelton",134991,64,
The Last Kingdom,2015– ,"Action, Drama, History",8.4,"Alexander Dreymon, Eliza Butterworth, Arnas Fedaravicius, Millie Brady",94650,60,
Black Mirror,2011– ,"Drama, Sci-Fi, Thriller",8.8,"Daniel Lapaine, Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones",469407,60,
Ozark,2017– ,"Crime, Drama, Thriller",8.4,"Jason Bateman, Laura Linney, Sofia Hublitz, Skylar Gaertner",206090,60,
The Crown,2016– ,"Biography, Drama, History",8.6,"Claire Foy, Olivia Colman, Imelda Staunton, Matt Smith",169517,58,
Sweet Tooth,2021– ,"Action, Adventure, Drama",7.9,"Nonso Anozie, Christian Convery, Adeel Akhtar, Stefania LaVie Owen",37142,0,
Army of the Dead,2021,"Action, Crime, Horror",5.8,"Director:Zack Snyder| Dave Bautista, Ella Purnell, Ana de la Reguera, Omari Hardwick",132378,148,
Fargo,2014– ,"Crime, Drama, Thriller",8.9,"Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks",341221,53,
How I Met Your Mother,2005–2014,"Comedy, Romance",8.3,"Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris",624036,22,
Community,2009–2015,Comedy,8.5,"Joel McHale, Danny Pudi, Donald Glover, Chevy Chase",231013,22,
Sons of Anarchy,2008–2014,"Crime, Drama, Thriller",8.5,"Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates",270445,45,
StartUp,2016–2018,"Crime, Thriller",7.9,"Adam Brody, Edi Gathegi, Otmara Marrero, Kristen Ariza",22971,44,
The Vampire Diaries,2009–2017,"Drama, Fantasy, Horror",7.7,"Nina Dobrev, Paul Wesley, Ian Somerhalder, Kat Graham",293434,43,
365 dni,2020,"Drama, Romance",3.3,"Directors:Barbara Bialowas, Tomasz Mandes| Anna Maria Sieklucka, Michele Morrone, Bronislaw Wroclawski, Otar Saralidze",63620,114,
How to Sell Drugs Online (Fast),2019– ,"Comedy, Crime, Drama",7.9,"Maximilian Mundt, Danilo Kamperidis, Lena Klenke, Damian Hardung",23960,30,
Good Girls,2018–2021,"Comedy, Crime, Drama",7.8,"Christina Hendricks, Retta, Mae Whitman, Reno Wilson",38618,43,
13 Reasons Why,2017–2020,"Drama, Mystery, Thriller",7.6,"Dylan Minnette, Katherine Langford, Christian Navarro, Alisha Boe",266386,60,
The Queen's Gambit,2020,Drama,8.6,"Anya Taylor-Joy, Chloe Pirrie, Bill Camp, Marcin Dorocinski",336801,395,
Legends of Tomorrow,2016– ,"Action, Adventure, Drama",6.8,"Caity Lotz, Amy Louise Pemberton, Dominic Purcell, Nick Zano",95897,42,
Star Trek: The Next Generation,1987–1994,"Action, Adventure, Mystery",8.6,"Patrick Stewart, Brent Spiner, Jonathan Frakes, LeVar Burton",106181,44,
Le dernier mercenaire,2021,"Action, Comedy",5.4,"Director:David Charhon| Jean-Claude Van Damme, Alban Ivanov, Samir Decazza, Assa Sylla",2606,110,
Resort to Love,2021,"Comedy, Romance",5.7,"Director:Steven K. Tsuchida| Christina Milian, Tymberlee Hill, Kayne Lee Harrison, Ruth Nadler-Nir",1591,101,
Evil,2019– ,"Crime, Drama, Horror",7.7,"Katja Herbers, Mike Colter, Aasif Mandvi, Maddy Crocco",15048,42,
The Expanse,2015– ,"Drama, Mystery, Sci-Fi",8.5,"Wes Chatham, Dominique Tipper, Steven Strait, Shohreh Aghdashloo",119644,60,
New Amsterdam,2018– ,Drama,8.1,"Ryan Eggold, Janet Montgomery, Freema Agyeman, Jocko Sims",27709,43,
Line of Duty,2012– ,"Crime, Drama, Mystery",8.7,"Martin Compston, Vicky McClure, Adrian Dunbar, Craig Parkinson",46751,60,
The 100,2014–2020,"Drama, Mystery, Sci-Fi",7.6,"Eliza Taylor, Bob Morley, Marie Avgeropoulos, Isaiah Washington",226962,43,
New Girl,2011–2018,Comedy,7.7,"Zooey Deschanel, Jake Johnson, Max Greenfield, Hannah Simone",200421,22,
Prison Break,2005–2017,"Action, Crime, Drama",8.3,"Dominic Purcell, Wentworth Miller, Amaury Nolasco, Robert Knepper",492438,44,
Sex Education,2019– ,"Comedy, Drama",8.3,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey",177274,45,
A Classic Horror Story,2021,"Drama, Horror, Mystery",5.7,"Directors:Roberto De Feo, Paolo Strippoli| Matilda Anna Ingrid Lutz, Francesco Russo, Peppino Mazzotta, Will Merrick",8822,95,
Feels Like Ishq,2021– ,"Comedy, Drama, Romance",6.6,"Jojo Singh, Mihir Ahuja, Kajol Chugh, Sumali Khaniwale",848,32,
Young Royals,2021– ,"Drama, Romance",8.6,"Edvin Ryding, Omar Rudberg, Frida Argento, Samuel Astor",16954,50,
Shadow and Bone,2021– ,"Action, Adventure, Drama",7.7,"Jessie Mei Li, Ben Barnes, Archie Renaux, Freddy Carter",60283,0,
The Hitman's Bodyguard,2017,"Action, Comedy, Crime",6.9,"Director:Patrick Hughes| Ryan Reynolds, Samuel L. Jackson, Gary Oldman, Elodie Yung",205979,118,
Mad Men,2007–2015,Drama,8.6,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser, January Jones",216203,47,
Élite,2018– ,"Crime, Drama, Thriller",7.5,"Itzan Escamilla, Omar Ayuso, Miguel Bernardeau, Arón Piper",59730,60,
Gilmore Girls,2000–2007,"Comedy, Drama",8.1,"Lauren Graham, Alexis Bledel, Keiko Agena, Scott Patterson",106650,44,
Sky Rojo,2021– ,"Action, Adventure, Crime",6.5,"Verónica Sánchez, Miguel Ángel Silvestre, Asier Etxeandia, Lali Espósito",6940,31,
Lupin,2021– ,"Action, Crime, Drama",7.5,"Omar Sy, Ludivine Sagnier, Hervé Pierre, Soufiane Guerrab",84428,45,
Trollhunters: Rise of the Titans,2021,"Animation, Action, Adventure",6.9,"Directors:Johane Matte, Francisco Ruiz-Velasco, Andrew L. Schmidt| Steve Alterman, Kay Bess, Brian Blessed, Vic Chao",2353,104,
Heartland,II 2007– ,"Drama, Family",8.4,"Amber Marshall, Shaun Johnston, Michelle Morgan, Graham Wardle",11764,45,
Jurassic Park,1993,"Action, Adventure, Sci-Fi",8.1,"Director:Steven Spielberg| Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough",897444,127,
Family Guy,1999–2022,"Animation, Comedy",8.1,"Seth MacFarlane, Alex Borstein, Seth Green, Mila Kunis",312584,22,
Daredevil,2015–2018,"Action, Crime, Drama",8.6,"Charlie Cox, Vincent D'Onofrio, Deborah Ann Woll, Elden Henson",374963,54,
Dark,2017–2020,"Crime, Drama, Mystery",8.8,"Louis Hofmann, Karoline Eichhorn, Lisa Vicari, Maja Schöne",312629,60,
Boku no hîrô akademia,2016– ,"Animation, Action, Adventure",8.4,"Daiki Yamashita, Nobuhiko Okamoto, Ayane Sakura, Justin Briner",44367,24,
Cobra Kai,2018– ,"Action, Comedy, Drama",8.6,"Courtney Henggeler, Mary Mouser, Tanner Buchanan, Ralph Macchio",122268,30,
Kingdom,2019– ,"Action, Drama, History",7.1,"Director:Seong-hun Kim| Jun Ji-hyun, Si-ah Kim, Byeong-eun Park, Kyo-hwan Koo",6388,92,
Gotham,2014–2019,"Action, Crime, Drama",7.8,"Ben McKenzie, Jada Pinkett Smith, Donal Logue, Camren Bicondova",216458,42,
Billions,2016– ,Drama,8.4,"Paul Giamatti, Damian Lewis, Maggie Siff, David Costabile",74094,60,
Agents of S.H.I.E.L.D.,2013–2020,"Action, Adventure, Drama",7.5,"Clark Gregg, Ming-Na Wen, Brett Dalton, Iain De Caestecker",205119,45,
Don't Breathe,2016,"Crime, Horror, Thriller",7.1,"Director:Fede Alvarez| Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto",237601,88,
The Ice Road,2021,"Action, Adventure, Drama",5.6,"Director:Jonathan Hensleigh| Liam Neeson, Marcus Thomas, Laurence Fishburne, Amber Midthunder",20561,109,
Arrow,2012–2020,"Action, Adventure, Crime",7.5,"Stephen Amell, Katie Cassidy, David Ramsey, Susanna Thompson",414712,42,
Orange Is the New Black,2013–2019,"Comedy, Crime, Drama",8.0,"Taylor Schilling, Danielle Brooks, Taryn Manning, Emma Myles",284554,59,
Gossip Girl,2007–2012,"Drama, Romance",7.4,"Blake Lively, Leighton Meester, Penn Badgley, Ed Westwick",159666,42,
Bridgerton,2020– ,"Drama, Romance",7.3,"Phoebe Dynevor, Regé-Jean Page, Nicola Coughlan, Jonathan Bailey",83944,60,
The Kominsky Method,2018–2021,"Comedy, Drama",8.2,"Michael Douglas, Sarah Baker, Graham Rogers, Melissa Tang",33440,30,
Homeland,2011–2020,"Crime, Drama, Mystery",8.3,"Claire Danes, Mandy Patinkin, Damian Lewis, Rupert Friend",322307,55,
Riverdale,2017– ,"Crime, Drama, Mystery",6.8,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",126112,45,
Sherlock,2010–2017,"Crime, Drama, Mystery",9.1,"Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves",839029,88,
